title,metacritic_score,user_score
Citizen Kane,100,8.4
The Godfather,100,9.2
Rear Window,100,8.9
Casablanca,100,9.2
Boyhood,100,7.7
Three Colors: Red,100,9.0
Singin' in the Rain,99,8.9
The Treasure of the Sierra Madre,99,8.5
Moonlight,99,7.2
Pan's Labyrinth,98,8.7
North by Northwest,98,8.1
All About Eve,98,8.8
Hoop Dreams,98,8.1
My Left Foot,97,8.4
Gone with the Wind,97,8.6
"4 Months, 3 Weeks and 2 Days",97,8.0
Some Like It Hot,97,8.6
Psycho,97,9.4
American Graffiti,97,8.2
Ran,96,8.3
12 Years a Slave,96,8.0
12 Angry Men,96,9.5
Manchester by the Sea,96,8.2
Rosemary's Baby,96,8.8
The Maltese Falcon,96,7.9
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,96,8.3
Ratatouille,96,8.6
Mean Streets,96,7.8
Gravity,96,7.8
Spirited Away,96,9.0
Beauty and the Beast,95,8.7
Carol,95,8.0
Toy Story,95,8.9
The Grapes of Wrath,95,9.7
The Social Network,95,8.3
Faces Places,95,5.9
I Am Not Your Negro,95,5.4
Double Indemnity,95,7.0
Zero Dark Thirty,95,6.9
A Separation,95,8.9
WALL-E,95,8.9
Before Midnight,94,8.3
Dunkirk,94,8.4
The Man Who Shot Liberty Valance,94,7.4
45 Years,94,7.4
Taxi Driver,94,7.0
The Manchurian Candidate,94,8.3
Pulp Fiction,94,9.1
Killer of Sheep,94,6.9
Mr. Turner,94,6.9
The Hurt Locker,94,7.3
Inside Out,94,8.7
Sideways,94,7.0
Apocalypse Now,94,8.8
We Were Here,94,6.8
Lady Bird,94,7.4
The Lord of the Rings: The Return of the King,94,9.1
Carlos,94,7.8
Maborosi,94,8.1
Amour,94,8.1
The Servant,93,7.7
Reversal of Fortune,93,7.9
"Crouching Tiger, Hidden Dragon",93,8.1
Toni Erdmann,93,7.0
Spotlight,93,8.1
Schindler's List,93,8.6
Call Me by Your Name,93,7.7
Yi Yi,93,8.4
La La Land,93,8.3
Inside Llewyn Davis,93,7.8
Sherpa,93,7.6
There Will Be Blood,93,8.0
Sita Sings the Blues,93,7.1
The Decline of Western Civilization,93,8.6
Days of Heaven,93,8.6
Crumb,93,8.3
The Rider,92,7.5
One More Time with Feeling,92,8.5
The Diving Bell and the Butterfly,92,8.3
The Class,92,7.4
Raging Bull,92,6.7
Platoon,92,8.1
35 Shots of Rum,92,6.3
Brother's Keeper,92,7.2
The Florida Project,92,7.2
Timbuktu,92,7.4
Apocalypse Now Redux,92,9.4
Annie Hall,92,8.3
The Lord of the Rings: The Fellowship of the Ring,92,9.1
Leviathan,92,7.3
The Best Years of Our Lives,92,8.4
Werckmeister Harmonies,92,7.9
Toy Story 3,92,8.9
The Look of Silence,92,8.4
Tower,92,8.1
Moolaadé,91,8.0
Atanarjuat: The Fast Runner,91,8.3
After Life,91,9.1
